"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"stroke-carotid-imaging-procedure-profile","Procedure.instantiatesCanonical","Procedure.instantiatesCanonical","","","",0,*,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PlanDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Measure|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/OperationDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Questionnaire|5.0.0]]}
","Instantiates FHIR protocol or definition","The URL pointing to a FHIR-defined protocol, guideline, order set or other definition that is adhered to in whole or in part by this Procedure.","","","","","","","","","",,,,,"",,,,"Procedure.instantiatesCanonical",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.instantiatesUri","Procedure.instantiatesUri","","","",0,*,"","","Y","uri {[]} {[]}
","Instantiates external protocol or definition","The URL pointing to an externally maintained protocol, guideline, order set or other definition that is adhered to in whole or in part by this Procedure.","This might be an HTML page, PDF, etc. or could just be a non-resolvable URI identifier.","","","","","","","","",,,,,"",,,,"Procedure.instantiatesUri",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.basedOn","Procedure.basedOn","","fulfills
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|5.0.0]]}
","A request for this procedure","A reference to a resource that contains details of the request for this procedure.","","","","","","","","","",,,,,"",,,,"Procedure.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.partOf","Procedure.partOf","","container
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Procedure|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationAdministration|5.0.0]]}
","Part of referenced event","A larger event of which this particular procedure is a component or step.","The MedicationAdministration resource has a partOf reference to Procedure, but this is not a circular reference.   For example, the anesthesia MedicationAdministration is part of the surgical Procedure (MedicationAdministration.partOf = Procedure).  For example, the procedure to insert the IV port for an IV medication administration is part of the medication administration (Procedure.partOf = MedicationAdministration).","","","","","","","","",,,,,"",,,,"Procedure.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.status","Procedure.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","preparation | in-progress | not-done | on-hold | stopped | completed | entered-in-error | unknown","A code specifying the state of the procedure. Generally, this will be the in-progress or completed state.","The ""unknown"" code is not to be used to convey other statuses.  The ""unknown"" code should be used when one of the statuses applies, but the authoring system doesn't know the current state of the procedure.

This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/event-status","",,,,"Procedure.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.statusReason","Procedure.statusReason","","Suspended Reason
Cancelled Reason","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","Reason for current status","Captures the reason for the current state of the procedure.","This is generally only used for ""exception"" statuses such as ""not-done"", ""suspended"" or ""aborted"". The reason for performing the event at all is captured in reasonCode, not here.","","","","","","","","",,"required","","http://testSK.org/ValueSet/stroke-proc-not-done-reason-vs","",,,,"Procedure.statusReason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.category","Procedure.category","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Classification of the procedure","A code that classifies the procedure for searching, sorting and display purposes (e.g. ""Surgical Procedure"").","","","","","","","","","",,"example","A code that classifies a procedure for searching, sorting and display purposes.","http://hl7.org/fhir/ValueSet/procedure-category|5.0.0","",,,,"Procedure.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.code","Procedure.code","","type
","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Identification of the procedure","The specific procedure that is performed. Use text if the exact nature of the procedure cannot be coded (e.g. ""Laparoscopic Appendectomy"").","","0..1 to account for primarily narrative only resources.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""58920005""/>
    <display value=""Angiography of carotid artery (procedure)""/>
  </coding>
</valueCodeableConcept>","","","",,"example","A code to identify a specific procedure .","http://hl7.org/fhir/ValueSet/procedure-code|5.0.0","",,,,"Procedure.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.subject","Procedure.subject","","patient
","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|5.0.0]]}
","Individual or entity the procedure was performed on","On whom or on what the procedure was performed. This is usually an individual human, but can also be performed on animals, groups of humans or animals, organizations or practitioners (for licensing), locations or devices (for safety inspections or regulatory authorizations).  If the actual focus of the procedure is different from the subject, the focus element specifies the actual focus of the procedure.","","","","","","","","","",,,,,"",,,,"Procedure.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"stroke-carotid-imaging-procedure-profile","Procedure.focus","Procedure.focus","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen|5.0.0]]}
","Who is the target of the procedure when it is not the subject of record only","Who is the target of the procedure when it is not the subject of record only.  If focus is not present, then subject is the focus.  If focus is present and the subject is one of the targets of the procedure, include subject as a focus as well. If focus is present and the subject is not included in focus, it implies that the procedure was only targeted on the focus. For example, when a caregiver is given education for a patient, the caregiver would be the focus and the procedure record is associated with the subject (e.g. patient).  For example, use focus when recording the target of the education, training, or counseling is the parent or relative of a patient.","","","","","","","","","",,,,,"",,,,"Procedure.focus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
